,station_1_name,station_1_id,station_1_latitude,station_1_longitude,station_2_name,station_2_id,station_2_latitude,station_2_longitude,n,station_pair_area
28,10th St at Fallon St,201.0,37.797672799999994,-122.2629973,Telegraph Ave at 19th St,183.0,37.8087021,-122.26992709999999,26,East Bay
29,10th St at University Ave,351.0,37.86906047545393,-122.29339957237242,19th Street BART Station,182.0,37.809012599999996,-122.2682473,2,East Bay
30,10th St at University Ave,351.0,37.86906047545393,-122.29339957237242,47th St at San Pablo Ave,152.0,37.83563220458518,-122.28105068206787,1,East Bay
31,10th St at University Ave,351.0,37.86906047545393,-122.29339957237242,65th St at Hollis St,157.0,37.8467842,-122.2913761,6,East Bay
32,10th St at University Ave,351.0,37.86906047545393,-122.29339957237242,Bancroft Way at College Ave,243.0,37.8693603,-122.25433740000001,5,East Bay
33,10th St at University Ave,351.0,37.86906047545393,-122.29339957237242,Bay Pl at Vernon St,195.0,37.81231409135146,-122.26077854633331,1,East Bay
34,10th St at University Ave,351.0,37.86906047545393,-122.29339957237242,Berkeley Civic Center,246.0,37.869059899999996,-122.270556,7,East Bay
35,10th St at University Ave,351.0,37.86906047545393,-122.29339957237242,California St at University Ave,251.0,37.87055532905745,-122.27972030639648,31,East Bay
36,10th St at University Ave,351.0,37.86906047545393,-122.29339957237242,Channing Way at San Pablo Ave,263.0,37.862827100000004,-122.29023049999999,10,East Bay
37,10th St at University Ave,351.0,37.86906047545393,-122.29339957237242,Channing Way at Shattuck Ave,252.0,37.865846600000005,-122.26744309999998,5,East Bay
38,10th St at University Ave,351.0,37.86906047545393,-122.29339957237242,Derby St at College Ave,267.0,37.8618037,-122.25356869999999,9,East Bay
39,10th St at University Ave,351.0,37.86906047545393,-122.29339957237242,Dover St at 57th St,188.0,37.8426295,-122.267738,2,East Bay
40,10th St at University Ave,351.0,37.86906047545393,-122.29339957237242,Downtown Berkeley BART,245.0,37.870139,-122.268422,11,East Bay
41,10th St at University Ave,351.0,37.86906047545393,-122.29339957237242,Doyle St at 59th St,154.0,37.841923799999996,-122.28804509999999,11,East Bay
42,10th St at University Ave,351.0,37.86906047545393,-122.29339957237242,Fifth St at Delaware St,257.0,37.870407115465376,-122.29967594146729,1,East Bay
43,10th St at University Ave,351.0,37.86906047545393,-122.29339957237242,Frank H Ogawa Plaza,7.0,37.8045623549303,-122.27173805236816,2,East Bay
44,10th St at University Ave,351.0,37.86906047545393,-122.29339957237242,Grand Ave at Santa Clara Ave,193.0,37.812744099999996,-122.2472152,2,East Bay
45,10th St at University Ave,351.0,37.86906047545393,-122.29339957237242,Hearst Ave at Euclid Ave,256.0,37.87511169286445,-122.26055324077606,17,East Bay
46,10th St at University Ave,351.0,37.86906047545393,-122.29339957237242,Lakeshore Ave at Trestle Glen Rd,194.0,37.811080700000005,-122.24326770000002,2,East Bay
47,10th St at University Ave,351.0,37.86906047545393,-122.29339957237242,MLK Jr Way at University Ave,238.0,37.8717192,-122.27306770000001,19,East Bay
48,10th St at University Ave,351.0,37.86906047545393,-122.29339957237242,MacArthur BART Station,176.0,37.82840997305853,-122.26631462574005,1,East Bay
49,10th St at University Ave,351.0,37.86906047545393,-122.29339957237242,Milvia St at Derby St,242.0,37.86012459911685,-122.2693844139576,9,East Bay
50,10th St at University Ave,351.0,37.86906047545393,-122.29339957237242,Ninth St at Heinz Ave,270.0,37.853489399999994,-122.28941540000001,18,East Bay
51,10th St at University Ave,351.0,37.86906047545393,-122.29339957237242,Ninth St at Parker St,265.0,37.8588682,-122.2912095,4,East Bay
52,10th St at University Ave,351.0,37.86906047545393,-122.29339957237242,North Berkeley BART Station,250.0,37.873558,-122.283093,44,East Bay
53,10th St at University Ave,351.0,37.86906047545393,-122.29339957237242,Parker St at Fulton St,266.0,37.8624644,-122.26479109999998,1,East Bay
54,10th St at University Ave,351.0,37.86906047545393,-122.29339957237242,Shattuck Ave at 51st St,174.0,37.8368013,-122.2640037,1,East Bay
55,10th St at University Ave,351.0,37.86906047545393,-122.29339957237242,Shattuck Ave at Hearst Ave,244.0,37.87367621459825,-122.26848721504213,10,East Bay
56,10th St at University Ave,351.0,37.86906047545393,-122.29339957237242,Stanford Ave at Hollis St,156.0,37.8384435,-122.28866470000001,2,East Bay
57,10th St at University Ave,351.0,37.86906047545393,-122.29339957237242,Telegraph Ave at 19th St,183.0,37.8087021,-122.26992709999999,19,East Bay
58,10th St at University Ave,351.0,37.86906047545393,-122.29339957237242,University Ave at Oxford St,258.0,37.8723555,-122.26644669999999,9,East Bay
